"Namn","Pris","Volym","Varugrupp","Typ","Stil","PrisPerLiter","Producent","Ursprunglandnamn","Alkoholhalt","year","SortimentText"
"Baltzar - Motala Irish Ale",22.3,330,"Öl","Ale brittisk-amerikansk stil","Irländsk ale",67.58,"Fors Bryggeri AB","Sverige","5.50%",2016,"Lokalt och småskaligt"
"Borenshult - Motala IPA",22.3,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",67.58,"Fors Bryggeri AB","Sverige","5.50%",2016,"Lokalt och småskaligt"
"Möllys Mosaic - Pale Ale",29.7,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",90,"Möllys","Sverige","5.80%",2016,"Lokalt och småskaligt"
"Lasse i gatan",65,375,"Öl","Porter och stout","Imperial porter och stout",173.33,"Sundbybergs köksbryggeri","Sverige","9.20%",2016,"Lokalt och småskaligt"
"Kees - Mosaïc Hop Explosion",39.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",120.91,"Brouwerij Kees","Nederländerna","5.50%",2016,"Övrigt sortiment"
"Emelisse - DIPA",39.9,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",120.91,"Bierbrouwerij Emelisse","Nederländerna","7.90%",2016,"Övrigt sortiment"
"Stillwater Tuppence - Old World Brett Fermented Porter",99.9,651,"Öl","Porter och stout","Söt porter och stout",153.46,"Stillwater Artisanal Ales","USA","7.00%",2016,"Övrigt sortiment"
"Black Rye IPA",31.1,330,"Öl","Ale brittisk-amerikansk stil","Black IPA",94.24,"Sälens Fjällbryggeri","Sverige","6.30%",2016,"Lokalt och småskaligt"
"Monks Emma Craft IPL",24.7,330,"Öl","Ljus lager","Imperial pils och india pale lager (IPL)",74.85,"Monks Café & Brewery","Sverige","5.00%",2016,"Lokalt och småskaligt"
"Bestorp - Brown Ale",31.4,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",95.15,"Åsalid Design","Sverige","6.00%",2016,"Lokalt och småskaligt"
"Monohop Series - Mosaic Dipa",31.8,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",96.36,"West Coast Bryggeri","Sverige","8.50%",2016,"Lokalt och småskaligt"
"Påverås - A Pale Ale",29.5,330,"Öl","Ale brittisk-amerikansk stil","",89.39,"Åsalid Bryggeri","Sverige","4.50%",2016,"Lokalt och småskaligt"
"Nils Oscar Celebration - Barley Wine",36.9,330,"Öl","Ale brittisk-amerikansk stil","Barley wine",111.82,"The Nils Oscar Company","Sverige","9.90%",2016,"Lokalt och småskaligt"
"South Plains - Golden Pilsner",17.8,330,"Öl","Ljus lager","Pilsner - tysk stil",53.94,"South Plains Brewing Company","Sverige","6.00%",2016,"Lokalt och småskaligt"
"Göteborgs go APA",21.8,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",66.06,"Göteborgs Nya Bryggeri AB","Sverige","5.30%",2016,"Lokalt och småskaligt"
"Popular Demand IPA",31.7,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",96.06,"PKLK Bryggeri","Sverige","6.30%",2016,"Lokalt och småskaligt"
"BrewDog - Hello, My Name Is Ingrid",34.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",105.76,"BrewDog","Storbritannien","8.20%",2016,"Små partier"
"Pumpkin Ale - Smuttynose Brewing CO.",29.5,355,"Öl","Annan öl","",83.1,"Smuttynose Brewing CO.","USA","5.80%",2016,"Små partier"
"La Rulles Meilleurs Voeux",70.6,750,"Öl","Ale belgisk stil","Belgisk mörk ale",94.13,"Brasserie La Rulles","Belgien","7.30%",2016,"Små partier"
"Baltic Porter",40.3,355,"Öl","Porter och stout","Imperial porter och stout",113.52,"Smuttynose Brewing CO.","USA","9.00%",2016,"Små partier"
"Winter Mess 2016 - Brasserie de la Senne",34.3,330,"Öl","Ale belgisk stil","Belgisk mörk ale",103.94,"Brasserie De La Senne","Belgien","8.50%",2016,"Små partier"
"Mikkeller Christmas Wish - Glutenfri",30.1,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",91.21,"Mikkeller","Internationellt märke","5.50%",2016,"Små partier"
"Valsviken - Vinterporter",43.5,250,"Öl","Porter och stout","Imperial porter och stout",174,"Nynäshamns Ångbryggeri AB","Sverige","9.10%",2016,"Små partier"
"Game of Arms - Imperial Licorice Porter",55.4,500,"Öl","Porter och stout","Imperial porter och stout",110.8,"Amager Bryghus","Danmark","8.20%",2016,"Små partier"
"St Bernardus - Christmas Ale",71.8,750,"Öl","Ale belgisk stil","Belgisk mörk ale",95.73,"Brasserie St. Bernard NV","Belgien","10.00%",2016,"Små partier"
"BrewDog - Elvis Juice Grapefruit India Pale Ale",24.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",75.46,"BrewDog","Storbritannien","6.50%",2016,"Övrigt sortiment"
"Stone - India Pale Ale",25.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",78.49,"Stone Brewing Co","Tyskland","6.90%",2016,"Övrigt sortiment"
"Stone - Go To India Pale Ale",23.9,330,"Öl","Ale brittisk-amerikansk stil","Session IPA",72.42,"Stone Brewing Co","Tyskland","4.70%",2016,"Övrigt sortiment"
"Stone - Ruination Double India Pale Ale",29.9,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",90.61,"Stone Brewing Co","Tyskland","8.50%",2016,"Övrigt sortiment"
"Amstel",14.1,330,"Öl","Ljus lager","Internationell stil",42.73,"Amstel Brouwerij","Nederländerna","5.00%",1996,"Övrigt sortiment"
"Saison-Brett - Smokestack Series",159.9,750,"Öl","Ale belgisk stil","Saison",213.2,"Boulevard Brewing Co","USA","8.50%",2016,"Övrigt sortiment"
"Arrogant Bastard Ale",32.9,500,"Öl","Ale brittisk-amerikansk stil","Strong ale",65.8,"Stone Brewing Co","Tyskland","7.20%",2016,"Övrigt sortiment"
"Lervig - Brewers Reserve Barley Wine",71.6,330,"Öl","Ale brittisk-amerikansk stil","Barley wine",216.97,"Lervig Aktiebryggeri","Norge","12.50%",2016,"Övrigt sortiment"
"Jädraöl - Bocken Brinner",29.6,330,"Öl","Annan öl","Öl av flera typer/stilar",89.7,"Jädraås Bryggeri","Sverige","4.50%",2016,"Lokalt och småskaligt"
"Eskilstuna Imperial Porter",33.3,330,"Öl","Porter och stout","Imperial porter och stout",100.91,"Eskilstuna Ölkultur","Sverige","8.00%",2016,"Lokalt och småskaligt"
"Leufsta Stout",26.7,330,"Öl","Porter och stout","",80.91,"Leufstabruk Bryggeri AB","Sverige","5.60%",2016,"Lokalt och småskaligt"
"Södra Hast Du Lederhosen",24.8,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",75.15,"Södra Maltfabriken Brewery","Sverige","6.50%",2016,"Lokalt och småskaligt"
"Innis & Gunn - Session IPA",15.9,330,"Öl","Ale brittisk-amerikansk stil","Session IPA",48.18,"Innis & Gunn","Storbritannien","4.60%",2016,"Ordinarie sortiment"
"Bagge Vinteröl",18.4,500,"Öl","Mörk lager","",36.8,"Janake Wine Group","Sverige","5.20%",2016,"Säsongsdrycker"
"Charlis Snöfall",24.9,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",75.46,"Charlis Brygghus","Sverige","6.50%",2016,"Säsongsdrycker"
"Göteborgs Winter Ale",23.7,330,"Öl","Ale brittisk-amerikansk stil","",71.82,"Göteborgs Nya Bryggeri AB","Sverige","5.40%",2016,"Säsongsdrycker"
"Peak Winter Session",26.4,355,"Öl","Ale brittisk-amerikansk stil","Session IPA",74.37,"Peak Organic Brewing Co","USA","5.00%",2016,"Säsongsdrycker"
"Södra Deer Santa",19.6,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",59.39,"Södra Maltfabriken Brewery","Sverige","4.50%",2016,"Säsongsdrycker"
"Grängesbergs Julöl - Ekologisk",16,500,"Öl","Mörk lager","",32,"Spendrups","Sverige","5.30%",2016,"Säsongsdrycker"
"Kalla Tiders Ängöl - Ekologisk",33.2,500,"Öl","Mörk lager","",66.4,"Ängöl AB","Sverige","5.80%",2016,"Säsongsdrycker"
"Charlis Svart",29.9,330,"Öl","Porter och stout","Imperial porter och stout",90.61,"Charlis Brygghus","Sverige","10.00%",2016,"Säsongsdrycker"
"Remmarlöv - The Red Slope",29.5,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",89.39,"Remmarlöv Gårdsbryggeri AB","Sverige","8.50%",2016,"Säsongsdrycker"
"Mohawk Whiteout",29.7,330,"Öl","Porter och stout","Imperial porter och stout",90,"Mohawk Brewing Company","Sverige","9.70%",2016,"Säsongsdrycker"
"Malmgård Imperial Winter Warmer",45.5,500,"Öl","Ale brittisk-amerikansk stil","Barley wine",91,"Malmgårds Bryggeri","Finland","10.20%",2016,"Säsongsdrycker"
"Buxton Winter - Stout",29.2,330,"Öl","Porter och stout","",88.49,"Buxton Brewery","Storbritannien","7.40%",2016,"Säsongsdrycker"
"Kees - Pale Ale Citra",33.9,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",102.73,"Brouwerij Kees","Nederländerna","4.60%",2016,"Övrigt sortiment"
"Stone Xocoveza - For the Holidays & New Year",29.3,330,"Öl","Annan öl","Öl av flera typer/stilar",88.79,"Stone Brewing Co","Tyskland","8.10%",2016,"Säsongsdrycker"
"Kees - Export Porter 1750",48.9,330,"Öl","Porter och stout","Söt porter och stout",148.18,"Brouwerij Kees","Nederländerna","10.50%",2016,"Övrigt sortiment"
"Fuller's - Old Winter Ale",27.8,500,"Öl","Ale brittisk-amerikansk stil","Strong ale",55.6,"Fuller Smith & Turner","Storbritannien","5.30%",2016,"Säsongsdrycker"
"Cabin Fever",26.9,355,"Öl","Ale brittisk-amerikansk stil","Brown ale",75.78,"New Holland Brewing Co","USA","6.50%",2016,"Säsongsdrycker"
"Gouden Carolus - Christmas",24.6,330,"Öl","Ale belgisk stil","Abt och kvadrupel",74.55,"Brouwerij Het Anker","Belgien","10.50%",2016,"Säsongsdrycker"
"Père Noël",25,330,"Öl","Ale belgisk stil","Belgisk ljus ale",75.76,"Brouwerij De Ranke","Belgien","7.00%",2016,"Säsongsdrycker"
"Fair Bear Comes - Christmas",24.5,330,"Öl","Porter och stout","",74.24,"Lehe Pruulikoda oü","Estland","6.00%",2016,"Säsongsdrycker"
"Rogue - Dead Guy Ale",29.9,355,"Öl","Ale tysk stil","",84.23,"Rogue Ales Brewery","USA","6.50%",2016,"Övrigt sortiment"
"Zone Zero Imperial IPA",33.6,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",101.82,"The Beer Factory Leksand","Sverige","8.00%",2016,"Lokalt och småskaligt"
"Westerås Golden Ale",19.9,330,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",60.3,"Coppersmith's AB","Sverige","4.70%",2016,"Lokalt och småskaligt"
"Kungsbryggeriet - Caramunich Ale",29.3,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",88.79,"Kungsbryggeriet","Sverige","6.00%",2016,"Lokalt och småskaligt"
"Rådanäs California Common",23.9,330,"Öl","Mellanmörk lager","California common",72.42,"Rådanäs Bryggeri AB","Sverige","5.30%",2016,"Lokalt och småskaligt"
"Kungsbryggeriet - Dortmunder Gold",24.3,330,"Öl","Ljus lager","Dortmunder och helles",73.64,"Kungsbryggeriet","Sverige","5.50%",2016,"Lokalt och småskaligt"
"Optimus In love - Hallon Stout",27.8,330,"Öl","Porter och stout","Imperial porter och stout",84.24,"Två Feta Grisar","Sverige","7.00%",2016,"Lokalt och småskaligt"
"Rådanäs Lageröl",22.9,330,"Öl","Ljus lager","Dortmunder och helles",69.39,"Rådanäs Bryggeri AB","Sverige","5.40%",2016,"Lokalt och småskaligt"
"Alnöl - Nacka IPA",31.2,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",94.55,"Alnöl AB","Sverige","6.20%",2016,"Lokalt och småskaligt"
"Hobo Chic DIPA",39.7,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",120.3,"Dry & Bitter Brewing","Danmark","8.00%",2016,"Lokalt och småskaligt"
"Inmate Oatmeal Stout",26.8,330,"Öl","Porter och stout","",81.21,"Bryggeri Fängelset","Sverige","5.40%",2016,"Lokalt och småskaligt"
"Alnöl - Spikarna Lager",28.9,330,"Öl","Ljus lager","",87.58,"Alnöl AB","Sverige","5.00%",2016,"Lokalt och småskaligt"
"Carlstad - American Pale Ale",24.7,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",74.85,"Carlstad Bryggeri","Sverige","4.80%",2016,"Lokalt och småskaligt"
"Prison Lager",25.4,330,"Öl","Ljus lager","",76.97,"Bryggeri Fängelset","Sverige","4.60%",2016,"Lokalt och småskaligt"
"Persikofeber IPA",37.6,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",113.94,"Brewski","Sverige","6.50%",2016,"Lokalt och småskaligt"
"Remmarlöv - The Local Hops Fresh Hop Ale",24.7,330,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",74.85,"Remmarlöv Gårdsbryggeri AB","Sverige","5.60%",2016,"Små partier"
"Carlstad - Nr 1",24.7,330,"Öl","Ljus lager","Modern stil",74.85,"Carlstad Bryggeri","Sverige","4.70%",2016,"Lokalt och småskaligt"
"Sandt Hallifornia Session IPA",29.7,330,"Öl","Ale brittisk-amerikansk stil","Session IPA",90,"Halmstad Brygghus","Sverige","4.70%",2016,"Lokalt och småskaligt"
"En Öl - Marbäcks Öl",21.7,330,"Öl","Ljus lager","Internationell stil",65.76,"Marbäcks öl HB","Sverige","5.10%",2016,"Lokalt och småskaligt"
"Monohop Serie Dipa Equinox",31.8,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",96.36,"West Coast Bryggeri","Sverige","8.50%",2016,"Lokalt och småskaligt"
"Miss Behave - IPA",29.7,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",90,"Höganäs Bryggeri","Sverige","6.00%",2016,"Lokalt och småskaligt"
"Klackabacken - What The Duck Imperial Porter",34.7,330,"Öl","Porter och stout","Imperial porter och stout",105.15,"Klackabackens Bryggeri","Sverige","7.80%",2016,"Lokalt och småskaligt"
"Byaregårdens Rököl",28.3,330,"Öl","Annan öl","",85.76,"Byaregårdens Brygghus","Sverige","5.50%",2016,"Lokalt och småskaligt"
"That India Pale Ale - All In Brewing",34.7,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",105.15,"All In Brewing","Sverige","6.00%",2016,"Lokalt och småskaligt"
"Citrauvin American Pale Ale - Odd Island Brewing Co",25.3,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",76.67,"Odd Island Brewing Co","Sverige","5.50%",2016,"Lokalt och småskaligt"
"Sailor IPA - Lycke Bryggeri",21.7,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",65.76,"Lycke Bryggeri","Sverige","5.40%",2016,"Lokalt och småskaligt"
"Lycke Pilsner",19.8,330,"Öl","Ljus lager","Pilsner - tysk stil",60,"Lycke Bryggeri","Sverige","5.00%",2016,"Lokalt och småskaligt"
"StillWater Artisanal - Cellardoor American Farmhouse Ale",34.9,355,"Öl","Ale brittisk-amerikansk stil","",98.31,"Stillwater Artisanal Ales","USA","6.60%",2016,"Övrigt sortiment"
"Heineken",13.9,330,"Öl","Ljus lager","Internationell stil",42.12,"Spendrups","Internationellt märke","5.00%",1992,"Ordinarie sortiment"
"Nils Oscar - Södermalmspilsner",26.5,500,"Öl","Ljus lager","Pilsner - tjeckisk stil",53,"The Nils Oscar Company","Sverige","5.00%",2016,"Övrigt sortiment"
"Salitos - Tequila Beer",17.9,330,"Öl","Annan öl","",54.24,"MBG Global Brands GmbH","Tyskland","5.90%",2016,"Övrigt sortiment"
"Bronx Brewery - American Pale Ale",25.9,355,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",72.96,"Bronx Brewery","USA","6.30%",2016,"Övrigt sortiment"
"Nättraby - Porter",33,330,"Öl","Porter och stout","Imperial porter och stout",100,"Carlskrona Bryggeri","Sverige","7.90%",2016,"Övrigt sortiment"
"Newcastle Brown Ale",16.1,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",48.79,"Scottish&Newcastle","Storbritannien","4.70%",1992,"Ordinarie sortiment"
"Vic Ale - Oz Yankee American Wheat",24.7,330,"Öl","Veteöl","",74.85,"Vic Brewery","Spanien","5.60%",2016,"Övrigt sortiment"
"Vic Ale - The Other Side of the Blonde",24.7,330,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",74.85,"Vic Brewery","Spanien","5.00%",2016,"Övrigt sortiment"
"Vic Ale - Tsarish Double Imperial Stout",33.6,330,"Öl","Porter och stout","Imperial porter och stout",101.82,"Vic Brewery","Spanien","8.00%",2016,"Övrigt sortiment"
"Särimner Jul Ale - Två Feta Grisar",23.9,330,"Öl","Ale oklassificerat","",72.42,"Två Feta Grisar","Sverige","4.60%",2016,"Lokalt och småskaligt"
"SjöCrona Noël",69.4,375,"Öl","Porter och stout","Imperial porter och stout",185.07,"Kristianstads Bryggeri","Sverige","11.00%",2016,"Lokalt och småskaligt"
"Stallhagen - Brewdolf The Reinbeer",30.1,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",91.21,"Stallhagen","Finland","6.00%",2016,"Lokalt och småskaligt"
"Nääs Mörk Lager Julöl",21.8,330,"Öl","Mörk lager","",66.06,"Nääs Gårdsbryggeri AB","Sverige","5.30%",2016,"Lokalt och småskaligt"
"Marbäcks Julöl",29.4,500,"Öl","Ale brittisk-amerikansk stil","Brown ale",58.8,"Marbäcks öl HB","Sverige","5.70%",2016,"Lokalt och småskaligt"
"Bryggare Peters Julöl",28.2,330,"Öl","Ale oklassificerat","",85.46,"Helsingborgs Bryggeri AB","Sverige","6.10%",2016,"Lokalt och småskaligt"
"Christmas Ale",118.4,660,"Öl","Ale oklassificerat","",179.39,"Åre Bryggcompagni","Sverige","7.00%",2016,"Lokalt och småskaligt"
"Vic Ale - Mumbai Indian Pale Ale",24.7,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",74.85,"Vic Brewery","Spanien","6.20%",2016,"Övrigt sortiment"
"Vic Ale - Old Wives Pale Ale",24.7,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",74.85,"Vic Brewery","Spanien","4.80%",2016,"Övrigt sortiment"
"Vic Ale - Choc Infested Porter",29.7,330,"Öl","Porter och stout","Imperial porter och stout",90,"Vic Brewery","Spanien","6.00%",2016,"Övrigt sortiment"
"Lagunitas - The Down Low",59.9,650,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",92.15,"Lagunitas Brewing Company","USA","3.90%",2016,"Övrigt sortiment"
"Lagunitas - Hop Stoopid",74.9,650,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",115.23,"Lagunitas Brewing Company","USA","8.00%",2016,"Övrigt sortiment"
"Schieve Tabarnak #4",33,330,"Öl","Ale belgisk stil","Belgisk ljus ale",100,"Brasserie De La Senne","Belgien","6.50%",2016,"Små partier"
"Traquair Jacobite - Ale",32.9,330,"Öl","Ale brittisk-amerikansk stil","Skotsk ale",99.7,"Traquair House","Storbritannien","8.00%",2016,"Små partier"
"I'm Dreaming of a Wheat Christmas",24.2,330,"Öl","Veteöl","",73.33,"Den Bryggande Holländaren AB","Sverige","5.90%",2016,"Lokalt och småskaligt"
"Rogue Nation - Brutal india Pale Ale",29.9,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",84.23,"Rogue Ales Brewery","USA","6.20%",2016,"Övrigt sortiment"
"Lagunitas - 12th of Never Ale",24.9,355,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",70.14,"Lagunitas Brewing Company","USA","5.50%",2016,"Övrigt sortiment"
"Erdinger - Weissbier Dunkel",23.5,500,"Öl","Veteöl","Dunkelweizen",47,"Erdinger","Tyskland","5.30%",1992,"Ordinarie sortiment"
"Baladin Metodo Classico - Riserva",189.8,750,"Öl","Ale belgisk stil","Belgisk ljus ale",253.07,"Birrificio Baladin","Italien","10.00%",2016,"Små partier"
"Imperial Biscotti Break - Evil Twin Brewing",79.9,475,"Öl","Porter och stout","Imperial porter och stout",168.21,"Evil Twin Brewing","USA","11.50%",2016,"Små partier"
"Murgese Christmas Stout",32.7,330,"Öl","Porter och stout","",99.09,"Lidbhy Gård AB","Sverige","5.80%",2016,"Lokalt och småskaligt"
"Barlingbo Staffen Julöl",28.7,330,"Öl","Ale oklassificerat","",86.97,"Barlingbo Bryggeri","Sverige","7.00%",2016,"Lokalt och småskaligt"
"Folkes Julöl",25.7,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",77.88,"Aktiebolaget Centralbryggeriet i Linköping","Sverige","5.00%",2016,"Lokalt och småskaligt"
"Waxholm Julöl",26.4,500,"Öl","Mörk lager","",52.8,"Waxholms Bryggeri","Sverige","5.70%",2016,"Lokalt och småskaligt"
"Hantverksbryggeriet Julnarren",40.2,330,"Öl","Ale brittisk-amerikansk stil","Strong ale",121.82,"Hantverksbryggeriet","Sverige","7.00%",2016,"Lokalt och småskaligt"
"Mysingen Midvinterbrygd",33.2,500,"Öl","Annan öl","",66.4,"Nynäshamns Ångbryggeri AB","Sverige","6.00%",2016,"Lokalt och småskaligt"
"Ysta Julöl",72.5,1000,"Öl","Mörk lager","",72.5,"ÖsterlenBryggarna","Sverige","5.70%",2016,"Lokalt och småskaligt"
"PostriÅ¾inské - Tmavé",1045.5,30000,"Öl","Mörk lager","Dunkel",34.85,"PostriÅ¾inské pivo","Tjeckien","4.30%",2016,"Övrigt sortiment"
"Jul Lager",40.2,500,"Öl","Mörk lager","",80.4,"Qvänum Mat & Malt AB","Sverige","5.20%",2016,"Lokalt och småskaligt"
"Eskilstuna Julöl",22.6,330,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",68.49,"Eskilstuna Ölkultur","Sverige","4.20%",2016,"Lokalt och småskaligt"
"Ocean Julöl",33.4,500,"Öl","Ale brittisk-amerikansk stil","",66.8,"Oceanbryggeriet","Sverige","5.80%",2016,"Lokalt och småskaligt"
"Åbro Original - Extra Stark",11.7,330,"Öl","Ljus lager","Starkare lager",35.46,"Åbro Bryggeri","Sverige","7.30%",2016,"Ordinarie sortiment"
"X-mas Ale",34.7,330,"Öl","Ale belgisk stil","Belgisk mörk ale",105.15,"Beer Studio","Sverige","8.70%",2016,"Lokalt och småskaligt"
"Klackabacken Julöl",26,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",78.79,"Klackabackens Bryggeri","Sverige","5.60%",2016,"Lokalt och småskaligt"
"Ryentorps Julbrygd",29.6,330,"Öl","Mörk lager","",89.7,"Ryentorps Bryggeri","Sverige","6.60%",2016,"Lokalt och småskaligt"
"Poutnik - Premium",18.9,500,"Öl","Ljus lager","Pilsner - tjeckisk stil",37.8,"Poutnik","Tjeckien","5.00%",2016,"Övrigt sortiment"
"De Vos - Belgisk Dubbel",35.4,330,"Öl","Ale belgisk stil","Dubbel",107.27,"Brouwerij 't Verzet","Belgien","7.60%",2016,"Övrigt sortiment"
"Postrizinske - Francins Lezak",1139,30000,"Öl","Ljus lager","Pilsner - tjeckisk stil",37.97,"PostriÅ¾inské pivo","Tjeckien","5.00%",2016,"Övrigt sortiment"
"De Vos - Belgisk Tripel",34,330,"Öl","Ale belgisk stil","Trippel",103.03,"Brouwerij 't Verzet","Belgien","6.50%",2016,"Övrigt sortiment"
"Postrizinske - Tmavé Mörk Lager",1045.5,30000,"Öl","Mörk lager","Dunkel",34.85,"PostriÅ¾inské","Tjeckien","4.30%",2016,"Övrigt sortiment"
"Brygghuset Finn - Winter Special",29.5,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",89.39,"Brygghuset Finn","Sverige","6.20%",2016,"Lokalt och småskaligt"
"Samuel Adams - Boston Lager",18.9,355,"Öl","Mellanmörk lager","Märzen och wienerstil",53.24,"Boston Beer Company","USA","4.70%",1992,"Ordinarie sortiment"
"Fryken - Vinter Ale",26.5,330,"Öl","Ale brittisk-amerikansk stil","Extra special bitter",80.3,"Västra Ämterviks Bryggeri AB","Sverige","5.40%",2016,"Lokalt och småskaligt"
"Limhamns - Winter Ale",25.5,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",77.27,"Limhamns Bryggeri AB","Sverige","5.60%",2016,"Lokalt och småskaligt"
"X-mas In Prison",49.6,330,"Öl","Ale brittisk-amerikansk stil","Barley wine",150.3,"Bryggeri Fängelset","Sverige","10.20%",2016,"Lokalt och småskaligt"
"Westerås - Julöl",20.8,330,"Öl","Annan öl","",63.03,"Coppersmith's AB","Sverige","5.00%",2016,"Lokalt och småskaligt"
"Snö Vinteröl - Roslags Näsby Bryggeri",29.4,330,"Öl","Ale brittisk-amerikansk stil","",89.09,"Roslags Näsby Bryggeri","Sverige","6.30%",2016,"Lokalt och småskaligt"
"Költur Hold the Buns - Fika Stout",27.9,330,"Öl","Porter och stout","Söt porter och stout",84.55,"Brewing Költur","Sverige","7.20%",2017,"Lokalt och småskaligt"
"Fjäderholmarnas - Winter Ale",27.1,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",82.12,"Fjäderholmarnas Bryggeri","Sverige","5.60%",2016,"Lokalt och småskaligt"
"Halmstad Brygghus - Slottets Julöl",24,330,"Öl","Ale brittisk-amerikansk stil","",72.73,"Halmstad Brygghus","Sverige","5.90%",2016,"Lokalt och småskaligt"
"Sibbarps Husbryggeri - Winter Warmer",34.7,330,"Öl","Ale brittisk-amerikansk stil","Strong ale",105.15,"Sibbarps Husbryggeri","Sverige","7.50%",2016,"Lokalt och småskaligt"
"Rådanäs Ekologiska Vinterbajer",24.4,330,"Öl","Mörk lager","",73.94,"Rådanäs Bryggeri AB","Sverige","5.80%",2016,"Lokalt och småskaligt"
"Nya Carnegiebryggeriet - Ljusslingan",22.8,330,"Öl","Mörk lager","Schwarzbier",69.09,"Nya Carnegiebryggeriet","Sverige","5.20%",2016,"Lokalt och småskaligt"
"MJ's Bryggeri - Veteöl",22.7,330,"Öl","Veteöl","",68.79,"MJ's Bryggeri","Sverige","5.50%",2016,"Lokalt och småskaligt"
"Råå Organic Amber",24.7,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",74.85,"Råå Bryggeri","Sverige","5.80%",2016,"Lokalt och småskaligt"
"Porter Fenix",27.8,500,"Öl","Porter och stout","",55.6,"Göteborgs Nya Bryggeri AB","Sverige","6.20%",2016,"Lokalt och småskaligt"
"Råå Organic Winter",24.7,330,"Öl","Ale brittisk-amerikansk stil","",74.85,"Råå Bryggeri","Sverige","5.60%",2016,"Lokalt och småskaligt"
"Limhamns - IPA",28.8,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",87.27,"Limhamns Bryggeri AB","Sverige","6.00%",2016,"Lokalt och småskaligt"
"Brygghuset Finn - Organic Porter",24.9,330,"Öl","Porter och stout","",75.46,"Brygghuset Finn","Sverige","5.50%",2016,"Lokalt och småskaligt"
"Barlingbo - Kajsarn",49.3,330,"Öl","Ale brittisk-amerikansk stil","Barley wine",149.39,"Barlingbo Bryggeri","Sverige","10.00%",2016,"Lokalt och småskaligt"
"Granaten",35.5,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",107.58,"Unibärsum AB","Sverige","6.00%",2016,"Lokalt och småskaligt"
"Barlingbo - Silverhättan",49,330,"Öl","Porter och stout","Imperial porter och stout",148.49,"Barlingbo Bryggeri","Sverige","10.00%",2016,"Lokalt och småskaligt"
"One",68.9,330,"Öl","Ale brittisk-amerikansk stil","Barley wine",208.79,"Beer Studio","Sverige","10.20%",2016,"Lokalt och småskaligt"
